contrast,left,right,left_mean_entropy,right_mean_entropy,delta_entropy,delta_ci_low,delta_ci_high,cliffs_delta,permutation_p,fdr_q
single-agent soft norm,baseline,single_norm,1.421,0.046,-1.375,-1.419,-1.325,-1.000,0.0002,0.0002
soft norm in heterogeneous triad,multi_free,multi_norm,0.975,1.006,0.031,-0.050,0.117,-0.067,0.4639,0.4639
blind visibility,multi_free,multi_free_blind,0.975,0.497,-0.478,-0.527,-0.424,-0.886,0.0002,0.0002
aggregate visibility,multi_free,multi_free_agg,0.975,0.495,-0.480,-0.530,-0.424,-0.887,0.0002,0.0002
strong norm binding,multi_norm,multi_norm_strong,1.006,0.616,-0.390,-0.460,-0.321,-0.834,0.0002,0.0002
hard mask binding,multi_norm,multi_norm_mask,1.006,0.562,-0.444,-0.515,-0.374,-0.880,0.0002,0.0002
multi-rule binding,multi_norm,multi_norm_multi,1.006,0.309,-0.696,-0.767,-0.628,-0.988,0.0002,0.0002
scripted transcript on Phi,baseline,solo_phi_exposed,1.421,0.000,-1.421,-1.450,-1.391,-1.000,0.0002,0.0002
DeepSeek interaction reopening,solo_ds,homo_ds,0.863,1.116,0.253,0.148,0.355,0.457,0.0002,0.0002
