experiment,num_episodes,mean_episode_entropy,ci_low,ci_high
baseline,100,1.4209175798849856,1.3907643059155748,1.4494836384637537
single_norm,100,0.046226694559365594,0.013200694391169922,0.08408698169931952
multi_free,100,0.9746052161059466,0.9227052424747524,1.0215712852739178
multi_norm,100,1.0058052381291462,0.9429326498031446,1.074594440035679
solo_qwen,100,0.0,0.0,0.0
solo_qwen_exposed,100,0.0,0.0,0.0
homo_qwen,100,0.0,0.0,0.0
solo_ds,100,0.8628730055644951,0.790107390496019,0.9327294008530461
solo_ds_exposed,100,0.2877358434781094,0.2112480175517365,0.3718742183137033
homo_ds,100,1.1163442244653745,1.0405376293018191,1.1881360531820004
solo_phi_exposed,100,0.0,0.0,0.0
homo_phi,100,1.3939527832476093,1.3592713759890669,1.4284117972224704
multi_norm_strong,100,0.6160158759342033,0.5943990446104065,0.6345694920269945
multi_norm_mask,100,0.5619564440989226,0.5416804080377726,0.580537947196393
multi_norm_multi,100,0.3093551800251015,0.290224679674098,0.32906470823620304
